domain,direction,sentence_type_fine,source_id,source_doc,source_text,target_text
bible,en->fj,statement,bible|genesis|018|033,bible_genesis_verse__en2fj.csv,"and the lord went his way, as soon as he had left communing with abraham: and abraham returned unto his place.",sa lako sara yani o jiova ena nona sala ni sa vosa oti vei eparaama “ka sa lesu tale o eparaama ki na nona tikina.
bible,en->fj,statement,bible|genesis|047|010,bible_genesis_verse__en2fj.csv,"and jacob blessed pharaoh, and went out from before pharaoh.",sa vakalouvinakataki fero o jekope ka lako tani mai matana.
bible,en->fj,statement,bible|genesis|032|019,bible_genesis_verse__en2fj.csv,"and so commanded he the second, and the third, and all that followed the droves, saying, on this manner shall ye speak unto esau, when ye find him.","sa vakarota talega nai karua ni lawalawa kei nai katolu ka vaka: ""me vaka talega oqori na veika mo ni tukuna vei iso ni kemuni sa kunei koya;"
bible,en->fj,statement,bible|genesis|035|026,bible_genesis_verse__en2fj.csv,"and the sons of zilpah, leah's handmaid; gad, and asher: these are the sons of jacob, which were born to him in padanaram.","na luvei sipa tagane, (na dauveiqaravi) nei lia; o kata kei aseri. oqo, o ira na luvei jekope tagane era sa vakasucumi vua e padani-erami."
bible,en->fj,statement,bible|genesis|027|037,bible_genesis_verse__en2fj.csv,"and isaac answered and said unto esau, behold, i have made him thy lord, and all his brethren have i given to him for servants; and with corn and wine have i sustained him: and what shall i do now unto thee, my son?","sa sauma mai o aisake ka tukuna vei iso, ""raica, au sa cakava me nomu turaga o koya, o ira kece na tacina, me ra nona i talai, na sila kei na waini me maroroi koya “na cava tale me'u cakava vei iko na luvequ? """
bible,en->fj,statement,bible|genesis|014|007,bible_genesis_verse__en2fj.csv,"and they returned, and came to enmishpat, which is kadesh, and smote all the country of the amalekites, and also the amorites, that dwelt in hazezontamar.","era sa vuki lesu tale ka lako mai ki misifata (o ya o kadesi) ka valuti ira kece na amalekaiti kei ira na amoraiti, o ira sa vakaitikotiko e asesoni tamari."
bible,en->fj,statement,bible|genesis|041|025,bible_genesis_verse__en2fj.csv,"and joseph said unto pharaoh, the dream of pharaoh is one: god hath shewed pharaoh what he is about to do.","sa tukuna o joseva vei fero, ""sa dua ga na tadra nei fero, na kalou sa vakaraitaka vei fero na veika sa vakarau me cakava:"
bible,en->fj,statement,bible|genesis|004|005,bible_genesis_verse__en2fj.csv,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.
bible,en->fj,statement,bible|genesis|026|025,bible_genesis_verse__en2fj.csv,"and he builded an altar there, and called upon the name of the lord, and pitched his tent there: and there isaac's servants digged a well.",sa tara mai kea e dua nai cabocabo ni soro ka kaciva mai kea na yaca i jiova. sa tara talega e kea na nona valelaca; era sa kelia mai kea e dua na mata ni wai na dauveiqaravi nei aisake.
bible,en->fj,statement,bible|genesis|018|011,bible_genesis_verse__en2fj.csv,now abraham and sarah were old and well stricken in age; and it ceased to be with sarah after the manner of women.,o eparaama kei sera e rau sa qase sara ka sa levu na nodrau veiyabaki; sa sivia talega o sera na veiyabaki ni vakasucu gone.
bible,en->fj,statement,bible|genesis|042|003,bible_genesis_verse__en2fj.csv,and joseph's ten brethren went down to buy corn in egypt.,"o iratou na lewe tini na taci joseva, e ratou sa lako sobu i ijipita me voli sila."
bible,en->fj,statement,bible|genesis|046|006,bible_genesis_verse__en2fj.csv,"and they took their cattle, and their goods, which they had gotten in the land of canaan, and came into egypt, jacob, and all his seed with him:","era sa kauta na nodra manumanu kei na nodra i yaya, era sa rawata ena vanua o kenani, ka lako sobu ki ijipita, o jekope kei ira kecega na nona kawa."
bible,en->fj,statement,bible|genesis|007|024,bible_genesis_verse__en2fj.csv,and the waters prevailed upon the earth an hundred and fifty days.,sa tiko ga na wai e vuravura me dua na drau limasagavulu na siga.
bible,en->fj,statement,bible|genesis|001|009,bible_genesis_verse__en2fj.csv,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina."
